,SourceFile,Page,PageUtterances,PageSpeakers,PageEmotions,PagePanels,PageBalloons,FileNr,Split,ComicBookTitle,image_path
0,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,1,"['THIS VILE THING ATTACKED THE SMALL BEASTS OF MY SHORES… ', '… IT PUNCHED MY BEAUTIFUL MATILDA… AND NOW IT BEGS FOR LIFE.', 'MY MASTER!', 'PLEASE!', 'BUT I HAVE NOT CHASED THIS MONSTER ALL THIS WAY TO LET IT GROVEL!', 'HEAL MEEE!', 'I HAVE COME TO CONQ--!', 'WHAT--', '--IS THAT?!', 'NO! NO!']","['AQUANYX', 'AQUANYX', 'ID-1', 'ID-1', 'AQUANYX', 'ID-1', 'AQUANYX', 'AQUANYX', 'AQUANYX', 'ID-1']","[""['Anger']"", ""['Anger']"", ""['Fear']"", ""['Fear']"", ""['Fear', 'Sadness']"", ""['Sadness']"", ""['Anger']"", ""['Surprise']"", ""['Surprise']"", ""['Fear', 'Surprise']""]","[1, 1, 1, 2, 3, 3, 3, 4, 5, 6]","[2, 3, 4, 1, 1, 2, 3, 1, 2, 1]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00001.jpg
1,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,2,"['NO--  #GKKK…#', '#CHOMP!', 'BY THE SKIN OF MATILDA!', 'BLACKMANTASAURUS! WHAT KIND OF MONSTER EATS ITS OWN WARRIORS?', '#MUNCH! MUNCH!', '#PTOOO!', 'VERY WELL.', 'YOU WANT A FIGHT?', 'YOU GOT ONE!']","['ID-1', 'BLACKMANTASAURUS', 'AQUANYX', 'AQUANYX', 'BLACKMANTASAURUS', 'BLACKMANTASAURUS', 'AQUANYX', 'AQUANYX', 'AQUANYX']","[""['Fear']"", ""['Anger']"", ""['Surprise']"", ""['Anger']"", ""['Joy']"", ""['Anger']"", ""['Anger']"", ""['Anger']"", ""['Anger']""]","[1, 1, 2, 3, 3, 3, 3, 3, 3]","[1, 2, 1, 1, 2, 3, 5, 6, 7]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00002.jpg
2,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,3,"['COME ON, BEAST!', 'SHOW YOURSELF!', 'WHY DO YOU HIDE BEHIND YOUR EGGSHELL WALLS?!', 'LET US DO BATTLE!']","['AQUANYX', 'AQUANYX', 'AQUANYX', 'AQUANYX']","[""['Joy']"", ""['Joy']"", ""['Anger']"", ""['Anger']""]","[1, 1, 1, 1]","[1, 2, 5, 6]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00003.jpg
3,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,4,['#AARGH! '],['AQUANYX'],"[""['Fear', 'Surprise']""]",[2],[2],1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00004.jpg
4,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,5,"['I, THE GREEN TORCH, HAVE BEEN TASKED WITH PROTECTING THIS JUNGLE FROM THE EVILS THAT COME FROM THE STARS.', 'TODAY, I FULFILL THAT DUTY --AND DEFEAT THIS MONSTER, ATROCITAURUS!', '#AGH!', '#UKKK…#', 'HOLD ON TO YOUR BUTT!', 'EVER SINCE I FOUND MY TORCH IN DEEP SPACE, I HAVE BEEN LOOKING FOR A WORTHY FOE…']","['GREEN TORCH', 'GREEN TORCH', 'ATROCITAURUS', 'ATROCITAURUS', 'GREEN TORCH', 'GREEN TORCH']","[""['Anger']"", ""['Anger']"", ""['Fear']"", ""['Fear', 'Surprise']"", ""['Anger', 'Joy']"", ""['Anger']""]","[1, 1, 1, 3, 4, 5]","[2, 3, 5, 1, 1, 2]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00005.jpg
5,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,6,"['… BUT THAT FOE IS NOT YOU!', 'GREEN TORCH, BEWARE… HE IS… COMING…', 'YOU WILL… FAIL…', '...', ""FLASHRAPTOR-- WHERE'S AQUANYX?"", 'HE CHASED THE MANTA BEAST AWAY FROM HERE.', ""HIS SCENT'S STILL IN THE AIR"", 'I BET WE COULD TRACK HIM.', 'YEAH, MAN.', ""LET'S GATHER UP THESE TWO AND GO FIND OUR FRIEND…""]","['GREEN TORCH', 'ATROCITAURUS', 'ATROCITAURUS', 'ATROCITAURUS', 'ATROCITAURUS', 'FLASHRAPTOR', 'FLASHRAPTOR', 'FLASHRAPTOR', 'GREEN TORCH', 'GREEN TORCH']","[""['Sadness']"", ""['Fear']"", ""['Joy']"", '[Neutral]', ""['Surprise']"", ""['Fear']"", ""['Surprise']"", ""['Joy']"", ""['Surprise']"", ""['Sadness', 'Surprise']""]","[1, 1, 1, 2, 2, 2, 3, 3, 3, 3]","[1, 2, 3, 1, 3, 4, 1, 2, 3, 4]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00006.jpg
6,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,7,"['""… SOMETHING TELLS ME HE NEEDS OUR HELP! ""', 'ALL THIS… CHAOS…', ""… IT'S ALL CONNECTED."", 'BATSAUR!', ""I'VE GOT A PLAN READY FOR US.""]","['BATSAUR', 'BATSAUR', 'BATSAUR', 'SUPERSAUR', 'SUPERSAUR']","[""['Surprise']"", ""['Fear', 'Sadness']"", ""['Surprise']"", ""['Surprise']"", ""['Joy']""]","[1, 3, 4, 5, 6]","[1, 2, 1, 1, 1]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00007.jpg
7,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,8,"['THERE IS A GREAT EVIL COMING OUR WAY.', 'WE MUST PREPARE AND FORTIFY.', 'FORTIFY? YOU MEAN--', 'WE WILL TRAVEL THERE, TO THE TOP OF THE GREAT MOUNTAIN, AND SET UP DEFENSES.', 'YOU WANT TO WAIT FOR YOUR DOOM? NO. WE MUST TAKE THE FIGHT TO WHAT THREATENS US, SUPERSAUR!', 'WE DO NOT KNOW HOW STRONG THIS THREAT IS!', ""WE CAN'T JUST MARCH IN-THE RISK IS TOO GREAT!"", ""BESIDES, WE DON'T EVEN KNOW WHERE THIS EVIL IS!"", ""WELL, THEN LET'S MAKE THEM TELL THE TRUTH."", 'HEY!', 'TELL US, GIGANTA!', 'WHERE IS YOUR MASTER?!']","['SUPERSAUR', 'SUPERSAUR', 'BATSAUR', 'SUPERSAUR', 'BATSAU', 'SUPERSAUR', 'SUPERSAUR', 'SUPERSAUR', 'BATSAUR', 'WONDERDON', 'BATSAUR', 'BATSAUR']","[""['Fear']"", ""['Fear']"", ""['Anger']"", ""['Fear']"", ""['Anger', 'Surprise']"", ""['Fear']"", ""['Fear']"", ""['Fear', 'Sadness']"", ""['Surprise']"", ""['Surprise']"", ""['Anger']"", ""['Anger']""]","[1, 1, 2, 3, 3, 3, 3, 3, 3, 4, 5, 5]","[1, 2, 1, 1, 2, 3, 4, 5, 6, 1, 1, 2]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00008.jpg
8,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,9,"['THE… CENTER OF THE JUNGLE. WHERE THE TREES DO NOT GROW, AND THE INSECTS DO NOT TREAD. IT CAN ONLY BE VIEWED FROM ABOVE, BUT IT IS BELOW.', 'A DARK MAGIC GUARDS ITS LOCATION FROM THE CREATURES THAT WALK ON THE GROUND.', 'EVEN WITH THE LASSO, YOU SPEAK IN RIDDLES! TELL US WHERE IT IS!', 'IT IS USELESS! HE HAS USED ALL OF US FOR HIS DARK PURPOSE… WHICH IS ALMOST FULFILLED.', 'HE IS COMING…', '… FOR ALL OF US.', 'BUT HE WILL BE STOPPED. BY ALL OF US.', ""MAYBE HE'LL BE STOPPED BY YOU. BUT I WILL NOT BE THERE."", 'WHAT?!', 'HE WILL FIND A WAY… ALWAYS… ALWAYS FINDS A WAY…', 'THAT GREAT EVIL IS SOMEHOW CONNECTED TO THE JOKERZARD.', 'AND IF I HUNT THAT EVIL… CHANCES ARE I WILL FIND HIS MINIONS…', '… INCLUDING THE ONE THAT KILLED MY…', '… I MUST GO.']","['GIGANTA', 'GIGANTA', 'BATSAUR', 'GIGANTA', 'GIGANTA', 'GIGANTA', 'SUPERSAUR', 'BATSAUR', 'SUPERSAUR', 'GIGANTA', 'BATSAUR', 'BATSAUR', 'BATSAUR', 'BATSAUR']","[""['Fear']"", ""['Fear']"", ""['Anger']"", ""['Anger', 'Fear', 'Surprise']"", ""['Fear', 'Sadness']"", ""['Fear', 'Sadness']"", ""['Anger']"", ""['Anger']"", ""['Surprise']"", ""['Fear']"", ""['Anger', 'Surprise']"", ""['Anger']"", ""['Anger', 'Sadness']"", ""['Anger']""]","[1, 2, 2, 3, 3, 3, 4, 5, 5, 5, 5, 5, 5, 7]","[1, 1, 2, 1, 2, 3, 1, 1, 2, 3, 4, 5, 6, 1]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00009.jpg
9,QC copy - 1499 - 58 ECC Co_mics 50 _The Jurassic League 4_.xlsx,10,"['THANK YOU, CHILD.', 'YOU ARE LEARNING.', 'SHE SHOULD BE HERE. WITH US.', ""SHE'S BEEN THROUGH ENOUGH THAT SHE HAS GROWN A STRONG MIND. SHE SHOULD DECIDE FOR HERSELF."", 'WONDERDON AND I NEED YOUR STRENGTH, BATSAUR. PLEASE…. DO NOT LEAVE US LIKE THIS.', 'YOU PRETEND THAT WE ARE FRIENDS, BUT I DO NOT KNOW EITHER OF YOU.', 'YOU ARE MERELY MORE OBSTACLES ON MY PATH TO REVENGE.', 'AND WHEN YOU GET YOUR REVENGE… WILL YOU BE WHOLE?', 'MORE SO THAN I AM NOW.', 'WHERE WILL YOU GO?']","['BATSAUR', 'BATSAUR', 'WONDERDON', 'WONDERDON', 'SUPERSAUR', 'BATSAUR', 'BATSAUR', 'SUPERSAUR', 'BATSAUR', 'WONDERDON']","[""['Joy']"", ""['Joy']"", ""['Fear']"", ""['Joy']"", ""['Fear', 'Sadness']"", ""['Anger', 'Disgust', 'Surprise']"", ""['Anger', 'Disgust']"", ""['Fear']"", ""['Anger', 'Disgust']"", ""['Fear', 'Surprise']""]","[5, 5, 5, 6, 6, 7, 7, 8, 8, 8]","[1, 2, 3, 1, 2, 1, 2, 1, 2, 3]",1499,TRAIN,Jurassic League #4,/Utilisateurs/umushtaq/multimodal_er/EmoComics35/raw_files/images/001499/images/page00010.jpg
